,query,cosine,euclidean,approach,embedding
0,0,0.6700588659952387,0.8122433131214463,decomp,gcp
1,0,0.5922605476841051,0.9030387234574356,decomp,oai
2,0,0.5888629314361902,0.9066867668009218,reveng,gcp
3,0,0.48667450456205147,1.0132378996973999,reveng,oai
4,0,0.5970454084518636,0.8977073201805525,pypdf,gcp
5,0,0.5354299768625326,0.9639191313666244,pypdf,oai
6,1,0.6295255248980465,0.860690488657313,decomp,gcp
7,1,0.5618617202890719,0.9360964272555642,decomp,oai
8,1,0.60506518116624,0.8886415565903882,reveng,gcp
9,1,0.4604337393138234,1.0388130176791017,reveng,oai
10,1,0.6267203908717721,0.8640199929267698,pypdf,gcp
11,1,0.5373358896811041,0.9619398057464482,pypdf,oai
12,2,0.5925960733364521,0.9025693148397533,decomp,gcp
13,2,0.5401066949821033,0.9590550739886288,decomp,oai
14,2,0.5457023456641062,0.9530907494198408,reveng,gcp
15,2,0.45794114749862297,1.0412097511589624,reveng,oai
16,2,0.5689581509750684,0.9284670149393375,pypdf,gcp
17,2,0.4922231236205238,1.0077468883064453,pypdf,oai
18,3,0.6510754498329434,0.8352829626190946,decomp,gcp
19,3,0.4457469332840051,1.0528562174100164,decomp,oai
20,3,0.5163551625528503,0.9833931589574743,reveng,gcp
21,3,0.3972154532160392,1.0979841504405397,reveng,oai
22,3,0.5188996740813229,0.980899435786152,pypdf,gcp
23,3,0.33871847537695515,1.150027460481079,pypdf,oai
24,4,0.5968052128220223,0.8978947444328321,decomp,gcp
25,4,0.48973351001052795,1.010214304715649,decomp,oai
26,4,0.5347317618679718,0.9645299681601165,reveng,gcp
27,4,0.42733709866487046,1.070198940212742,reveng,oai
28,4,0.547956713090211,0.9508166734715061,pypdf,gcp
29,4,0.4696166508117547,1.0299352743913508,pypdf,oai
